Id;V0;V1;V2
354;651;855;959
355;263;451;891
356;73;500;787
357;226;748;965
358;407;1303;1616
359;146;921;1307
360;249;622;1600
361;291;653;1020
362;229;797;824
363;351;824;1065
364;182;527;750
365;258;858;1032
366;199;712;937
367;231;757;1220
368;231;510;757
369;572;1185;1432
370;21;572;1185
371;41;694;771
372;233;772;1206
373;247;450;929
374;446;1301;1546
375;152;464;655
376;655;880;1563
377;422;952;1564
378;236;850;851
379;237;524;1486
380;300;812;1152
381;48;447;767
382;118;952;1564
383;502;788;838
384;239;836;837
385;93;839;1155
386;240;944;1607
387;491;873;1411
388;410;491;843
389;441;493;842
390;337;967;1335
391;243;834;1267
392;369;907;1304
393;472;835;1145
394;244;885;1440
395;245;829;900
396;245;599;1516
397;47;827;853
398;86;589;982
399;247;504;929
400;247;925;1568
401;438;503;1086
402;483;785;1008
403;73;622;1600
404;249;920;921
405;270;792;1272
406;270;1009;1310
407;251;912;1461
408;107;531;1499
409;252;826;1198
410;110;931;988
411;253;852;932
412;652;1547;1569
413;36;701;1110
414;494;808;884
415;257;808;1046
416;329;668;974
417;256;955;1351
418;257;808;884
419;255;494;808
420;474;776;1141
421;478;903;1595
422;459;762;1196
423;147;470;753
424;362;924;1418
425;105;573;1408
426;91;819;1234
427;261;819;904
428;172;591;790
429;491;873;1147
430;179;501;1181
431;402;728;815
432;169;949;1525
433;467;1575;1583
434;467;1211;1575
435;81;574;1009
436;71;465;650
437;31;508;608
438;268;888;889
439;269;973;1126
440;542;546;1582
441;270;665;1272
442;250;792;1272
443;380;1033;1348
444;272;732;985
445;272;1074;1075
446;273;869;996
447;273;737;995
448;274;605;1073
449;32;1223;1228
450;99;418;628
451;440;1312;1634
452;276;534;628
453;552;913;1180
454;168;430;627
455;435;1283;1624
456;279;560;765
457;280;534;760
458;418;525;1001
459;281;1002;1162
460;281;1003;1005
461;282;1007;1623
462;528;1007;1623
463;129;488;576
464;297;576;1148
465;117;826;1296
466;94;1119;1175
467;285;565;1099
468;285;847;1099
469;653;938;1473
470;178;616;1121
471;287;565;671
472;287;653;1020
473;288;927;1333
474;162;631;1118
475;658;927;1489
476;290;658;1050
477;293;972;1187
478;300;812;1108
479;616;1143;1604
480;251;901;912
481;292;1036;1370
482;293;1127;1548
483;225;451;822
484;346;934;1246
485;99;455;914
486;296;728;1558
487;263;728;815
488;116;815;1250
489;402;791;1460
490;448;1011;1357
491;520;1095;1357
492;419;666;991
493;400;1062;1226
494;638;1108;1142
495;158;638;1108
496;810;915;1339
497;301;915;1044
498;809;916;1337
499;302;916;1043
500;303;1064;1361
501;78;782;1403
502;467;747;1584
503;245;854;1353
504;305;800;969
505;156;516;1209
506;306;470;749
507;260;924;1418
508;53;1571;1591
509;308;1000;1045
510;480;907;1496
511;263;815;1055
512;309;667;1067
513;57;576;1190
514;310;1164;1165
515;311;1090;1103
516;333;567;1202
517;313;479;592
518;313;479;1201
519;336;563;966
520;240;839;1169
521;617;1390;1543
522;300;1108;1142
523;337;562;967
524;239;562;1171
525;616;1121;1143
526;617;1129;1543
527;444;1328;1428
528;318;697;1203
529;0;686;1259
530;220;930;1609
531;320;766;1027
532;335;857;1168
533;482;857;1168
534;322;1124;1576
535;322;1206;1576
536;323;642;1114
537;323;656;735
538;392;660;1448
539;96;899;1229
540;354;677;1080
541;354;677;1223
542;367;1125;1227
543;10;716;1263
544;327;556;1262
545;514;1209;1224
546;95;514;909
547;514;909;1457
548;77;882;883
549;61;713;956
550;330;696;1232
551;529;745;871
552;134;647;1399
553;785;1008;1572
554;332;785;1197
555;196;611;692
556;333;611;834
557;334;581;941
558;361;885;1440
559;335;836;837
560;335;837;857
561;36;624;1172
562;839;1169;1235
563;35;441;1335
564;194;613;1620
565;145;1289;1587
566;338;636;1288
567;143;1071;1291
568;339;860;1292
569;141;886;1193
570;350;675;1324
571;343;625;1560
572;343;625;1319
573;344;642;1114
574;93;1114;1300
575;131;780;1054
576;345;1214;1275
577;210;622;623
578;346;934;1120
579;220;654;930
580;292;993;1370
581;301;751;1488
582;426;751;1022
583;151;802;1327
584;349;545;1323
585;350;1325;1326
586;375;689;1452
587;182;750;1321
588;55;527;750
589;35;441;842
590;352;700;1041
591;28;410;843
592;353;685;1039
593;390;677;1080
594;390;677;1229
595;374;988;1218
596;431;809;916
597;356;664;1338
598;432;810;915
599;55;750;797
600;357;731;943
601;358;1225;1470
602;358;861;1281
603;233;773;1481
604;383;507;939
605;46;829;900
606;469;1113;1134
607;361;1134;1629
608;417;1260;1527
609;362;1113;1527
610;363;737;1367
611;737;995;1367
612;364;1024;1025
613;364;1023;1024
614;366;1125;1358
615;550;888;1189
616;325;677;1229
617;367;990;1358
618;96;997;1056
619;367;990;997
620;308;811;1230
621;47;669;1000
622;217;487;1178
623;489;630;911
624;532;933;1468
625;371;532;1295
626;120;820;1511
627;120;1035;1511
628;435;752;1625
629;378;657;799
630;232;817;1432
631;571;964;1500
632;689;1325;1452
633;649;1302;1427
634;376;649;1377
635;376;665;1378
636;744;1437;1439
637;179;1181;1437
638;494;919;1247
639;65;494;980
640;148;1032;1262
641;51;1242;1468
642;380;780;1349
643;780;850;1349
644;457;848;1552
645;498;848;1552
646;382;662;1381
647;998;1273;1495
648;507;939;1245
649;383;1124;1576
650;42;418;1001
651;295;913;914
652;385;738;1463
653;106;861;1096
654;386;573;942
655;386;506;1407
656;388;1101;1307
657;387;499;1101
658;235;730;880
659;408;1254;1562
660;255;898;1085
661;804;1419;1505
662;390;1080;1402
663;390;746;1402
664;391;746;1068
665;391;767;1628
666;564;918;1631
667;113;1080;1402
668;720;859;1184
669;197;1314;1480
670;394;1481;1482
671;591;790;1293
672;395;664;992
673;339;734;1329
674;396;734;1395
675;397;905;1213
676;433;1079;1410
677;194;1412;1620
678;194;613;1222
679;67;569;1251
680;144;483;878
681;421;1241;1487
682;438;1087;1379
683;24;1159;1414
684;121;963;998
685;402;815;1250
686;405;791;1150
687;112;1269;1537
688;279;796;984
689;172;625;1560
690;172;790;1477
691;159;554;1036
692;405;791;1250
693;42;406;874
694;406;513;874
695;748;965;1303
696;407;998;1495
697;588;759;1420
698;408;1254;1563
699;20;409;856
700;409;585;856
701;28;410;1313
702;286;938;1257
703;139;517;528
704;139;527;1530
705;423;1597;1598
706;413;806;952
707;48;893;1453
708;414;670;1253
709;423;894;1606
710;48;447;893
711;641;1053;1428
712;283;641;1053
713;688;1308;1532
714;583;764;1354
715;247;504;1146
716;417;926;1260
717;534;628;760
718;418;628;760
719;299;559;666
720;559;666;991
721;332;607;947
722;117;607;1541
723;134;1241;1536
724;421;1240;1261
725;422;952;1279
726;412;806;1279
727;238;446;962
728;578;1597;1598
729;803;1271;1515
730;424;946;1526
731;802;1270;1578
732;425;945;1517
733;862;1289;1587
734;426;751;1588
735;225;820;821
736;427;820;1511
737;428;813;1594
738;428;1026;1436
739;429;536;963
740;429;536;1414
741;560;627;765
742;430;627;765
743;431;988;1043
744;374;931;988
745;432;1008;1572
746;144;483;1008
747;140;1213;1410
748;53;1079;1571
749;87;930;1567
750;195;718;1491
751;860;1292;1626
752;435;860;1626
753;127;1063;1555
754;436;1014;1034
755;69;660;1116
756;629;1135;1533
757;503;868;1086
758;438;1062;1226
759;420;1010;1255
760;420;1255;1256
761;174;1288;1635
762;440;863;977
763;872;1316;1412
764;493;872;1412
765;216;503;868
766;92;788;838
767;443;736;1491
768;641;1328;1428
769;25;1203;1328
770;183;494;884
771;600;1269;1537
772;234;506;814
773;119;446;831
774;447;893;895
775;447;1047;1586
776;360;819;904
777;115;1095;1225
778;211;597;1449
779;56;449;626
780;234;831;1301
781;506;1102;1407
782;120;451;890
783;427;820;821
784;104;593;723
785;452;1540;1579
786;255;494;980
787;122;817;981
788;389;645;881
789;645;881;1376
790;551;798;1266
791;278;560;627
792;167;456;795
793;858;1032;1554
794;457;858;1553
795;429;998;1273
796;24;536;1414
797;259;762;1196
798;459;1196;1464
799;401;536;963
800;401;536;1200
801;592;1221;1446
802;21;462;1281
803;176;572;639
804;463;758;1591
805;260;887;923
806;464;922;1194
807;152;464;922
808;180;465;509
809;212;490;1415
810;264;1017;1018
811;34;711;1017
812;304;1014;1034
813;78;1211;1575
814;221;656;735
815;123;1015;1533
816;469;1134;1629
817;468;1287;1629
818;219;753;1069
819;63;645;1376
820;471;1035;1469
821;135;1140;1469
822;472;944;1607
823;240;563;944
824;158;812;1108
825;228;674;789
826;230;474;770
827;475;830;869
828;273;995;996
829;64;476;634
830;64;698;1284
831;477;958;1013
832;147;753;1549
833;51;478;1208
834;148;903;1456
835;596;1334;1356
836;479;1156;1356
837;369;1000;1045
838;94;480;907
839;248;481;597
840;439;481;1309
841;321;1012;1434
842;241;491;843
843;248;878;961
844;23;483;961
845;342;1179;1441
846;89;493;872
847;341;803;1271
848;19;485;1315
849;180;486;816
850;79;486;816
851;382;768;1298
852;68;662;1381
853;102;818;1028
854;102;488;818
855;68;630;1373
856;68;489;630
857;212;490;957
858;71;490;957
859;241;491;1147
860;90;873;1147
861;218;492;1019
862;92;492;1019
863;242;493;842
864;89;928;1167
865;378;600;919
866;600;919;1247
867;377;864;1217
868;16;495;1217
869;496;1399;1400
870;496;1425;1426
871;729;987;1280
872;331;1240;1241
873;105;887;1278
874;223;498;535
875;499;921;1307
876;499;920;921
877;500;759;787
878;146;500;759
879;62;501;727
880;501;727;940
881;216;502;1151
882;56;502;1151
883;503;774;1398
884;66;503;774
885;214;504;1047
886;119;504;1047
887;76;658;927
888;619;1360;1573
889;136;1084;1551
890;136;506;814
891;384;832;1404
892;108;1109;1305
893;180;509;608
894;208;651;855
895;208;508;509
896;508;509;608
897;510;757;1137
898;76;658;775
899;257;741;1608
900;511;741;1608
901;15;512;769
902;15;681;769
903;404;1364;1476
904;111;790;1475
905;846;1224;1627
906;156;1209;1224
907;156;516;749
908;156;515;579
909;516;749;1233
910;63;516;1233
911;139;527;1174
912;517;1173;1362
913;518;764;1354
914;271;973;1126
915;269;971;1126
916;55;797;943
917;520;1357;1632
918;44;430;765
919;44;765;796
920;59;730;880
921;522;726;1097
922;561;902;1467
923;473;902;1467
924;237;524;1443
925;524;994;1100
926;108;772;1466
927;108;743;1109
928;139;528;794
929;411;1163;1530
930;55;1177;1592
931;55;527;1177
932;526;528;794
933;13;526;528
934;299;1175;1176
935;49;1240;1261
936;530;1175;1176
937;149;530;1176
938;531;827;853
939;107;785;1572
940;223;779;1084
941;532;779;1551
942;91;533;1234
943;360;819;1234
944;82;863;977
945;276;534;875
946;386;573;1408
947;136;1084;1406
948;460;536;1200
949;24;460;536
950;224;537;1111
951;71;537;1111
952;32;605;1073
953;32;538;605
954;544;823;1581
955;545;1359;1502
956;207;722;742
957;547;978;1510
958;154;1074;1454
959;543;867;1471
960;436;867;1471
961;18;544;1478
962;18;679;1478
963;43;540;721
964;143;1212;1502
965;272;566;1074
966;546;1504;1582
967;580;978;1510
968;29;707;1081
969;29;548;619
970;140;1123;1573
971;548;619;1360
972;366;889;1189
973;166;550;888
974;276;628;777
975;157;551;798
976;913;914;1180
977;455;914;1180
978;278;627;778
979;456;795;1258
980;159;554;1078
981;405;1078;1622
982;309;1160;1161
983;555;1078;1622
984;258;937;1061
985;258;556;1032
986;371;786;865
987;70;786;865
988;58;941;1287
989;58;558;833
990;117;559;1296
991;284;826;1296
992;83;1292;1626
993;278;560;876
994;561;902;1485
995;561;1355;1485
996;101;841;1098
997;316;1094;1106
998;97;1107;1409
999;314;1092;1107
1000;392;660;918
1001;660;918;1631
1002;75;938;1257
1003;285;824;1065
1004;51;566;1208
1005;272;732;1242
1006;98;592;1230
1007;98;811;1230
1008;115;568;1011
1009;261;568;1011
1010;67;569;733
1011;248;569;1449
1012;237;570;1443
1013;84;953;1443
1014;373;1274;1299
1015;232;571;964
1016;176;462;572
1017;21;462;572
1018;463;887;923
1019;362;573;1418
1020;266;659;1042
1021;266;729;1239
1022;16;575;678
1023;16;678;986
1024;57;554;1331
1025;297;791;1150
1026;66;577;1426
1027;577;1425;1426
1028;236;1276;1565
1029;578;1276;1598
1030;579;1421;1557
1031;477;870;1013
1032;580;978;1523
1033;581;928;1167
1034;334;581;1167
1035;582;659;1042
1036;161;582;659
1037;190;688;1308
1038;190;583;1380
1039;262;1012;1614
1040;172;591;948
1041;265;879;1117
1042;171;585;1117
1043;266;729;1444
1044;30;582;1042
1045;587;1064;1361
1046;466;1063;1361
1047;227;522;588
1048;59;522;588
1049;243;811;845
1050;86;611;834
1051;28;685;1345
1052;28;685;1070
1053;262;948;1154
1054;67;591;1154
1055;98;1103;1104
1056;311;567;1602
1057;138;950;1593
1058;368;949;1525
1059;286;594;1313
1060;28;1070;1313
1061;270;972;1458
1062;288;595;1081
1063;1156;1334;1356
1064;205;596;1334
1065;211;597;781
1066;449;626;781
1067;107;598;1499
1068;598;1499;1514
1069;110;988;1043
1070;245;900;1353
1071;183;1247;1538
1072;600;1247;1538
1073;167;601;724
1074;157;602;725
1075;165;366;889
1076;603;604;1621
1077;274;604;1073
1078;274;604;763
1079;605;755;1306
1080;274;922;1194
1081;370;782;1403
1082;171;630;1374
1083;252;826;1243
1084;332;607;1198
1085;267;756;1059
1086;180;608;1058
1087;283;609;1052
1088;129;1053;1428
1089;282;1006;1244
1090;202;610;1006
1091;341;1271;1474
1092;86;1271;1515
1093;344;691;1317
1094;344;1114;1300
1095;492;613;1222
1096;92;492;613
1097;615;1128;1542
1098;191;702;1105
1099;615;1089;1128
1100;617;1093;1129
1101;178;685;1039
1102;189;617;1130
1103;189;700;1041
1104;618;1091;1390
1105;617;1130;1390
1106;619;1123;1573
1107;288;619;1123
1108;319;1027;1030
1109;621;1139;1389
1110;319;1030;1138
1111;188;697;1029
1112;622;968;1268
1113;73;622;968
1114;612;624;1172
1115;210;622;1268
1116;181;623;866
1117;181;624;866
1118;13;625;1364
1119;13;683;1364
1120;321;1012;1614
1121;56;626;1191
1122;168;553;778
1123;168;627;778
1124;99;455;777
1125;99;628;777
1126;221;629;1015
1127;221;558;833
1128;171;630;911
1129;370;1373;1374
1130;631;1144;1599
1131;631;1118;1144
1132;1188;1472;1599
1133;290;1118;1144
1134;392;1207;1448
1135;214;633;1207
1136;173;670;1253
1137;173;1253;1612
1138;324;670;1285
1139;390;899;1229
1140;356;664;1340
1141;54;915;1339
1142;355;637;1336
1143;60;916;1337
1144;1129;1543;1604
1145;291;1121;1143
1146;454;639;1483
1147;176;807;1332
1148;462;640;861
1149;176;462;640
1150;187;495;1051
1151;187;415;641
1152;213;660;1631
1153;660;1115;1116
1154;162;631;1187
1155;643;1188;1472
1156;82;644;1494
1157;82;534;875
1158;222;516;645
1159;63;516;645
1160;83;646;1498
1161;83;560;876
1162;134;1422;1536
1163;134;647;1422
1164;470;753;1069
1165;470;749;1233
1166;376;649;951
1167;375;1302;1427
1168;180;465;650
1169;180;486;650
1170;18;544;959
1171;18;651;959
1172;624;866;1405
1173;652;866;1405
1174;75;653;1417
1175;287;653;1417
1176;347;654;970
1177;220;766;1165
1178;655;1254;1563
1179;59;880;1563
1180;629;656;1135
1181;221;629;656
1182;355;657;975
1183;175;637;1336
1184;76;927;1333
1185;289;658;775
1186;659;1127;1548
1187;161;659;1127
1188;323;1115;1116
1189;213;660;1115
1190;661;953;1547
1191;84;661;953
1192;292;662;1157
1193;68;662;1157
1194;75;653;938
1195;182;663;1122
1196;174;1294;1340
1197;395;754;1294
1198;270;665;1388
1199;29;707;1388
1200;49;666;1219
1201;299;666;1219
1202;402;791;1250
1203;555;1160;1161
1204;330;668;974
1205;256;882;883
1206;252;531;827
1207;284;826;1243
1208;324;746;1068
1209;173;670;1285
1210;150;561;1216
1211;27;1238;1355
1212;12;387;960
1213;387;672;960
1214;126;487;673
1215;217;487;673
1216;228;789;1216
1217;72;847;1158
1218;484;928;1179
1219;484;1179;1441
1220;340;802;1270
1221;14;695;1386
1222;677;1223;1228
1223;325;677;1228
1224;150;561;1467
1225;150;678;910
1226;539;679;1478
1227;133;539;679
1228;485;680;1088
1229;19;485;680
1230;681;769;1493
1231;445;769;1493
1232;434;901;912
1233;195;1491;1492
1234;683;1364;1476
1235;202;683;1476
1236;368;949;950
1237;104;684;1236
1238;590;685;1070
1239;178;590;685
1240;364;1259;1341
1241;686;1259;1341
1242;359;1112;1199
1243;100;913;1249
1244;30;688;1347
1245;30;1042;1347
1246;350;675;1325
1247;114;689;1326
1248;14;676;1385
1249;14;690;1385
1250;344;642;1166
1251;181;691;1317
1252;333;1202;1204
1253;39;1202;1204
1254;341;803;1365
1255;196;611;1277
1256;394;801;1480
1257;394;694;771
1258;340;1314;1386
1259;801;1314;1480
1260;330;974;1024
1261;61;696;1232
1262;188;697;1506
1263;1025;1133;1506
1264;326;877;1284
1265;192;365;1227
1266;320;1205;1484
1267;320;1027;1030
1268;316;562;967
1269;189;1093;1094
1270;314;1107;1409
1271;132;1091;1092
1272;313;702;1105
1273;40;596;1356
1274;311;567;1202
1275;201;1089;1090
1276;289;658;1050
1277;52;770;1049
1278;671;1238;1355
1279;27;705;1238
1280;281;1002;1290
1281;17;706;1003
1282;595;707;1081
1283;162;595;707
1284;269;971;989
1285;163;519;971
1286;267;816;917
1287;31;709;1059
1288;265;879;979
1289;128;585;879
1290;138;711;1590
1291;264;949;950
1292;712;937;1061
1293;258;556;1061
1294;256;955;956
1295;198;713;955
1296;380;714;1033
1297;103;850;1349
1298;236;780;850
1299;9;715;851
1300;327;716;1263
1301;185;580;1510
1302;138;1524;1593
1303;684;1236;1237
1304;718;736;1491
1305;26;718;736
1306;719;770;1519
1307;474;770;1519
1308;393;519;1184
1309;164;720;859
1310;540;721;1359
1311;206;721;1359
1312;45;541;722
1313;541;722;742
1314;723;1430;1580
1315;33;723;1430
1316;43;724;1077
1317;43;540;1077
1318;45;725;1076
1319;45;541;1076
1320;401;1521;1522
1321;212;957;1594
1322;294;994;1100
1323;524;994;1486
1324;296;1181;1182
1325;296;728;1182
1326;81;497;987
1327;81;729;987
1328;730;1097;1636
1329;212;730;1636
1330;106;731;1132
1331;229;731;1132
1332;732;933;1468
1333;215;732;933
1334;321;897;1614
1335;211;733;897
1336;545;1212;1502
1337;339;646;1291
1338;93;735;1155
1339;558;839;1155
1340;736;1205;1484
1341;26;736;1205
1342;380;1348;1350
1343;273;869;1348
1344;106;640;738
1345;219;738;807
1346;265;1021;1540
1347;739;1021;1540
1348;131;1054;1214
1349;363;737;1366
1350;713;955;956
1351;256;882;1351
1352;348;1022;1195
1353;348;742;1392
1354;295;525;1109
1355;295;743;1109
1356;88;744;1439
1357;296;1183;1558
1358;331;1241;1536
1359;209;729;1280
1360;390;746;899
1361;324;746;899
1362;169;1579;1583
1363;264;950;1590
1364;226;748;1436
1365;121;748;1436
1366;156;749;1421
1367;306;749;1421
1368;351;797;824
1369;351;750;797
1370;432;915;1044
1371;153;946;1526
1372;112;984;1283
1373;378;600;1269
1374;459;1549;1611
1375;219;753;1611
1376;111;976;1312
1377;395;591;1293
1378;204;538;755
1379;388;755;1101
1380;709;756;1059
1381;166;709;756
1382;231;758;1066
1383;74;858;1553
1384;758;1571;1591
1385;433;1079;1571
1386;227;588;759
1387;146;759;1420
1388;42;418;760
1389;513;874;976
1390;141;1193;1393
1391;53;923;1352
1392;147;762;958
1393;259;762;958
1394;267;1058;1059
1395;268;763;917
1396;149;518;764
1397;583;764;1380
1398;521;796;984
1399;279;765;796
1400;766;1164;1165
1401;102;766;1164
1402;447;767;1586
1403;391;1131;1330
1404;159;555;1161
1405;382;768;1382
1406;183;512;769
1407;445;1537;1538
1408;289;1049;1442
1409;230;770;1442
1410;359;743;1112
1411;41;771;1199
1412;108;743;772
1413;743;772;1112
1414;773;1481;1482
1415;85;773;1482
1416;577;774;1060
1417;66;577;774
1418;76;510;775
1419;230;510;775
1420;757;776;1137
1421;74;757;776
1422;777;798;1266
1423;455;777;1266
1424;778;795;1258
1425;553;778;1258
