Id;V0;V1;V2
229;566;1631;3081
230;552;1216;2255
231;422;1091;2678
232;81;1350;2059
233;310;1052;2551
234;310;2180;2966
235;405;1012;2294
236;533;1034;2034
237;507;1009;1739
238;242;1369;2337
239;53;1533;2382
240;632;1828;2347
241;1076;2024;2685
242;437;1193;1988
243;900;1741;1839
244;582;1563;1844
245;1592;2152;2421
246;649;1592;2421
247;655;1283;2416
248;173;1647;3100
249;1571;2157;2438
250;816;2914;2915
251;399;1176;1602
252;807;1933;3134
253;582;1560;1843
254;416;1146;1215
255;465;1188;2454
256;458;968;1831
257;326;1474;2368
258;642;2226;2429
259;355;1235;1531
260;124;1597;2498
261;494;2877;2957
262;585;1273;2930
263;484;1384;1551
264;182;1429;2405
265;182;1046;2597
266;123;1162;2087
267;39;2636;2777
268;184;1194;1420
269;329;2567;3189
270;78;969;2322
271;362;2587;2712
272;77;1428;2437
273;709;2319;2711
274;1234;1530;3210
275;423;887;1737
276;237;2195;2607
277;1448;2108;2958
278;73;2108;2257
279;191;1604;2449
280;427;1122;2359
281;245;1890;2882
282;193;2286;2741
283;497;1684;2099
284;728;2025;2789
285;454;1846;2050
286;429;1390;2282
287;442;1138;1751
288;311;997;1138
289;814;2271;3114
290;577;1530;2765
291;1294;2048;2356
292;789;2511;2870
293;275;1002;2126
294;127;1778;3174
295;120;948;972
296;842;1681;2073
297;120;1271;2627
298;409;1416;2297
299;704;1786;1950
300;30;1517;2245
301;819;3130;3132
302;1272;2612;2639
303;1048;1416;2297
304;203;1458;2320
305;1142;1697;2683
306;647;2287;2482
307;1180;1591;2367
308;205;1868;2196
309;773;1836;2584
310;206;1686;2750
311;74;1585;2189
312;386;1032;1926
313;215;1871;2816
314;682;1507;1989
315;717;951;1407
316;209;1588;2442
317;61;2414;2759
318;503;1442;1482
319;680;1220;2874
320;58;1907;2246
321;403;1480;1481
322;212;1864;2625
323;622;978;2011
324;214;1281;2410
325;837;1870;3141
326;557;1223;1703
327;299;1229;1608
328;707;1339;2314
329;982;1552;2378
330;88;2787;2968
331;475;1162;2082
332;1190;2884;2885
333;501;1697;2683
334;328;1175;1446
335;351;1227;1790
336;678;1461;1867
337;520;970;2063
338;802;1607;1722
339;450;1485;2991
340;633;1220;2776
341;956;2615;2653
342;771;1282;1880
343;224;1282;1880
344;761;1935;2689
345;830;2699;2954
346;677;992;1704
347;21;1438;2819
348;385;1299;2801
349;227;1747;2008
350;476;1461;1777
351;514;1726;1753
352;472;1182;1203
353;13;1173;2350
354;1280;2218;2733
355;675;2036;2437
356;441;1647;2339
357;441;1646;1648
358;525;1095;1842
359;471;1654;1655
360;1083;2640;2855
361;205;1462;2747
362;783;2130;2892
363;249;1172;3157
364;649;1794;2221
365;588;995;2237
366;49;1524;2477
367;236;856;1388
368;52;1474;2814
369;449;1152;1658
370;1081;1295;2952
371;407;1546;1634
372;485;1173;1835
373;854;1720;2207
374;147;890;1824
375;338;2923;3118
376;464;1135;1724
377;762;2328;2963
378;182;1123;1440
379;598;1889;2843
380;242;1109;2337
381;432;1116;1636
382;822;1044;1218
383;297;2463;2505
384;690;2635;2636
385;245;1890;1964
386;520;2062;2064
387;843;1263;3196
388;626;2024;2348
389;570;1574;1575
390;400;1209;2247
391;804;1707;2687
392;192;1220;2874
393;71;2306;2389
394;654;1470;1891
395;309;873;1066
396;478;1723;2852
397;478;1741;1839
398;634;1577;2168
399;60;1446;2001
400;355;1392;2122
401;742;2590;3052
402;286;1087;1538
403;798;3053;3054
404;835;1693;2793
405;356;1158;2165
406;256;1870;2598
407;1427;2883;2953
408;417;1957;2213
409;257;2029;2624
410;346;1113;1702
411;346;994;1113
412;259;1745;2356
413;259;880;1743
414;1192;2020;2989
415;1192;2989;3158
416;261;954;1669
417;124;954;3153
418;545;1701;1786
419;424;904;2198
420;671;1019;1860
421;969;1516;2443
422;402;931;1849
423;118;887;1595
424;423;1383;2847
425;265;1849;2810
426;702;2613;3182
427;60;2001;2677
428;587;1208;2232
429;35;2231;2244
430;584;1431;1853
431;793;1431;2382
432;847;2744;2879
433;52;1225;2814
434;454;1710;1711
435;1001;2110;2488
436;770;1677;2172
437;616;2172;2257
438;69;1777;1979
439;37;1817;1930
440;462;1015;2192
441;759;924;1921
442;59;1125;2296
443;595;1682;1683
444;198;1002;2990
445;928;1570;3016
446;276;2224;3049
447;928;3014;3015
448;884;1279;3074
449;278;1918;3199
450;277;1217;1845
451;35;2183;2661
452;279;2230;2623
453;445;977;2537
454;615;1625;2947
455;821;2852;2904
456;429;1390;1391
457;282;1069;1070
458;72;2283;2533
459;324;1089;1090
460;411;1496;1761
461;815;2033;2415
462;428;1635;2387
463;287;990;2362
464;287;974;1784
465;175;1633;1783
466;426;1037;2575
467;128;1038;2769
468;289;1091;2678
469;131;1654;1809
470;298;2506;3080
471;291;1017;1268
472;143;1881;1945
473;737;2042;2043
474;775;1422;1961
475;480;1892;3068
476;293;2496;3033
477;41;1997;2280
478;141;1089;1126
479;505;871;1738
480;418;1588;2357
481;454;1711;2842
482;1226;2383;2880
483;514;1726;2316
484;228;2018;2903
485;213;1543;2552
486;299;2253;2817
487;774;1896;2212
488;353;1467;2515
489;66;1899;2602
490;563;1051;2180
491;165;1896;2212
492;128;979;1615
493;314;1024;1843
494;304;1048;1416
495;40;950;1838
496;1667;2206;3135
497;447;1189;2065
498;335;1178;2922
499;306;893;2317
500;607;1150;2355
501;21;905;1093
502;308;1102;1463
503;1945;2149;3193
504;309;1068;1740
505;601;2212;3197
506;552;1270;1931
507;997;1787;2226
508;931;2810;2826
509;795;1693;2983
510;868;2165;2331
511;268;964;2491
512;677;2177;2298
513;314;1198;1199
514;640;2112;2595
515;315;1019;2147
516;1104;2131;2266
517;1174;2474;3048
518;978;1281;2011
519;1476;2619;2859
520;1572;1798;2946
521;164;1444;1977
522;310;1286;2551
523;915;1573;2738
524;320;2058;2202
525;522;1611;1629
526;188;934;2746
527;560;1134;1872
528;322;1347;2162
529;324;1221;2441
530;219;2563;2834
531;1194;2499;3189
532;897;2368;3033
533;120;1157;2215
534;327;1893;2887
535;480;1893;3068
536;707;1652;2707
537;765;1175;2571
538;938;1780;2270
539;840;1596;1597
540;294;851;869
541;869;2128;2173
542;1168;1559;3044
543;331;1055;2693
544;542;1565;1873
545;596;2286;2370
546;2135;2155;2819
547;333;1585;2446
548;818;1604;2449
549;684;1122;1618
550;1257;2057;2720
551;149;1257;2057
552;460;1212;2136
553;1114;1626;2452
554;337;1211;2179
555;337;1211;2914
556;890;1001;1824
557;468;1001;1824
558;574;2056;2720
559;320;2058;3156
560;341;2055;2235
561;341;1358;2055
562;573;1661;2831
563;773;1856;2533
564;342;2152;2421
565;623;2379;2380
566;788;1479;3008
567;1380;2809;2891
568;41;1380;2632
569;345;1261;1262
570;138;1398;2581
571;444;2133;2203
572;590;2022;2384
573;14;1996;2130
574;223;2046;2047
575;90;2381;2936
576;651;1898;2936
577;515;1913;2706
578;133;1594;1936
579;597;1867;1955
580;840;3177;3178
581;653;2354;3178
582;700;1227;1790
583;196;1456;2560
584;829;1527;3121
585;180;2417;2600
586;353;1025;2559
587;354;978;1281
588;214;1281;2011
589;712;1313;2618
590;9;2565;2721
591;255;1374;1894
592;541;1158;3072
593;662;1191;1300
594;662;2432;2433
595;1146;1215;2705
596;358;1309;2713
597;359;1310;2709
598;855;1599;1920
599;524;1632;1692
600;189;1013;1820
601;708;1432;2712
602;630;892;1429
603;179;1530;2881
604;712;1392;2122
605;178;1892;2338
606;621;1201;2264
607;1056;1130;2028
608;606;1130;2028
609;177;1437;2710
610;671;1341;2569
611;368;901;902
612;284;916;1575
613;923;1529;3169
614;611;2115;2403
615;604;947;1859
616;519;1379;1862
617;1251;1917;2010
618;139;1958;1962
619;933;1401;2995
620;412;1402;2629
621;1414;2797;2997
622;536;1435;1967
623;469;1660;2531
624;974;1784;2120
625;561;2075;2617
626;502;2007;2008
627;1071;1836;2340
628;683;2502;2503
629;683;2549;2643
630;547;1099;1129
631;327;982;1552
632;625;1996;2130
633;384;2376;2599
634;145;995;1299
635;588;1299;2801
636;336;2452;3124
637;386;2416;2828
638;90;1237;3031
639;1237;2832;2919
640;788;1545;3010
641;490;1644;1863
642;389;1393;1394
643;35;2183;2231
644;194;1043;1640
645;119;1390;2282
646;1390;2127;2700
647;1063;1990;2916
648;620;1007;2301
649;122;1513;2301
650;52;941;1225
651;125;2794;2879
652;496;995;1834
653;652;1048;2295
654;395;1414;2797
655;296;951;1407
656;565;1983;2906
657;397;1449;2460
658;589;1049;2244
659;620;1650;1788
660;167;1488;1650
661;243;1296;2175
662;399;1484;2284
663;248;1140;1365
664;1140;2247;2467
665;626;1761;3146
666;401;1496;1761
667;38;931;2826
668;187;1078;1755
669;863;1887;2326
670;608;1982;2293
671;1144;2625;2929
672;404;1521;2240
673;1012;2069;2225
674;555;3101;3207
675;855;1599;3086
676;1290;2656;2657
677;286;1442;2292
678;144;1841;1928
679;373;985;1401
680;652;1048;2297
681;409;1416;2701
682;174;1244;1545
683;44;2379;3009
684;452;1101;2844
685;85;1329;1992
686;15;1371;1402
687;775;2629;3056
688;413;1404;2363
689;751;2605;3061
690;49;909;1830
691;814;1524;2477
692;305;1667;2956
693;57;2206;3135
694;416;1146;1428
695;675;1146;2323
696;422;1505;1605
697;545;1786;1950
698;418;872;1588
699;766;2304;2305
700;696;1751;2413
701;1112;2413;2485
702;949;1733;2988
703;486;1397;2582
704;717;2455;2456
705;234;1425;1460
706;601;1848;2213
707;417;1285;1503
708;1383;2847;3104
709;118;2870;3105
710;716;882;1389
711;424;1455;1949
712;39;2636;2961
713;208;1400;1991
714;127;1037;1778
715;833;1567;1785
716;427;1501;2118
717;826;3150;3151
718;1086;1635;2387
719;428;1442;1482
720;429;1064;3190
721;1502;1673;3190
722;962;1943;2085
723;30;1724;2245
724;506;1000;1965
725;123;973;2760
726;690;986;1699
727;51;2277;2400
728;53;1610;1613
729;433;1532;1534
730;498;1061;2191
731;638;1580;2845
732;953;2106;2781
733;126;1599;3086
734;522;1629;2746
735;436;1186;2084
736;47;2258;2802
737;1623;1988;2258
738;438;1601;3179
739;748;1676;3040
740;691;1664;3191
741;175;1807;1933
742;542;1933;1934
743;1032;1114;2452
744;173;1114;1626
745;1112;1751;2413
746;540;2122;2618
747;533;1669;1864
748;443;1596;3161
749;444;2203;3073
750;869;2173;2227
751;186;2269;2711
752;186;1306;2325
753;90;865;1689
754;750;2851;3031
755;1060;2867;2868
756;447;1676;3040
757;448;1713;3019
758;473;1182;2667
759;987;1657;2753
760;878;2007;2008
761;450;1468;2514
762;135;1150;3037
763;43;2221;2238
764;768;1380;2632
765;768;1246;1514
766;453;1036;2033
767;454;1640;2842
768;720;1711;2842
769;459;1447;1515
770;154;1691;2095
771;529;880;2049
772;190;1801;3209
773;458;967;1769
774;969;1516;2322
775;263;1767;1769
776;458;2791;3116
777;129;1515;2978
778;459;1003;1683
779;93;1153;1742
780;460;880;1743
781;461;988;1731
782;290;1818;2249
783;830;2507;2519
784;610;1233;2249
785;132;1233;2398
786;470;1686;2469
787;708;1432;2825
788;751;1744;2605
789;751;1483;1744
790;467;1787;2226
791;997;2226;2429
792;562;992;2109
793;562;890;1001
794;706;1674;2695
795;134;1413;3147
796;154;1687;1700
797;1685;2763;3185
798;983;1473;2395
799;471;1654;1782
800;472;1107;2686
801;472;1107;1203
802;730;1173;2350
803;698;1654;1809
804;474;1153;1795
805;844;1801;1876
806;1116;1636;2087
807;475;1762;1865
808;220;1227;2399
809;220;1461;1867
810;886;1855;2096
811;583;1103;2181
812;546;2119;2141
813;478;996;1839
814;718;1404;2579
815;1404;1679;2579
816;480;1598;1816
817;88;2838;3184
818;481;1693;1871
819;794;2361;2815
820;482;1594;2078
821;246;1263;3196
822;221;1254;1607
823;133;1384;1551
824;31;1063;1396
825;538;1548;1915
826;485;2465;3106
827;271;1202;2465
828;486;1261;1262
829;486;1430;2178
830;487;1790;1857
831;261;955;2762
832;131;1107;1509
833;488;962;1943
834;1119;2210;2666
835;42;1399;2988
836;388;1387;2835
837;44;1544;3013
838;1961;2015;2920
839;491;1960;1961
840;575;1017;2114
841;36;1355;1959
842;738;2334;2768
843;755;1826;2878
844;755;1826;2877
845;470;961;2469
846;470;895;1687
847;496;976;1752
848;496;1752;2522
849;440;1567;1785
850;198;1566;2990
851;785;1969;2927
852;1029;1030;2679
853;953;2106;2557
854;555;1536;2557
855;1539;1557;2000
856;500;1557;1678
857;501;1696;2979
858;782;1675;2834
859;379;1057;1058
860;722;1840;2585
861;503;1840;1928
862;860;1295;2164
863;144;1482;1546
864;203;1738;2665
865;872;2603;2663
866;223;2019;2174
867;682;1507;2278
868;122;1454;1739
869;175;1009;1807
870;1148;2224;3049
871;862;1148;3051
872;257;2503;2594
873;146;958;2031
874;510;1918;3050
875;205;910;1005
876;823;2196;2975
877;512;1223;1703
878;619;1400;1991
879;156;1525;1808
880;682;1587;1764
881;746;1726;1981
882;831;1981;2316
883;1131;1504;2734
884;515;1252;2644
885;519;2619;2859
886;769;1798;3187
887;791;2943;2944
888;791;1465;2945
889;109;1318;1858
890;859;3020;3023
891;519;1862;2859
892;483;1789;3070
893;483;874;2062
894;521;1609;1610
895;559;1609;1612
896;1574;1575;2310
897;523;1630;1631
898;162;1108;1631
899;99;1347;1582
900;524;1820;2360
901;305;2679;3029
902;152;1404;1679
903;330;1196;2871
904;526;933;2132
905;526;2371;2871
906;114;1197;2274
907;949;1559;3044
908;949;2041;3044
909;735;2137;2788
910;529;1294;2048
911;1112;2485;2486
912;467;1111;1998
913;531;1603;2097
914;664;1666;2097
915;1260;2386;3205
916;1019;1860;2147
917;403;1481;2890
918;799;1669;1864
919;345;2102;2783
920;486;2581;2582
921;536;1284;2240
922;535;2093;2124
923;536;1521;2240
924;536;1413;3147
925;40;950;2026
926;537;948;1528
927;349;1253;1548
928;181;1252;2644
929;273;1694;2129
930;539;1197;2274
931;442;1138;2731
932;889;2123;2268
933;541;939;1894
934;733;1865;3134
935;1865;2755;3134
936;1041;1409;2104
937;77;1428;2969
938;439;979;1518
939;1135;1724;2245
940;1503;1950;3127
941;545;1285;1802
942;546;952;2140
943;546;996;2139
944;1069;1070;2982
945;547;2002;2234
946;307;1099;1129
947;43;1298;1706
948;343;1479;3008
949;343;1571;2864
950;550;2149;2150
951;550;1500;2150
952;140;1246;1514
953;883;2135;3083
954;163;1265;1971
955;749;1216;2805
956;306;806;1178
957;893;1436;3138
958;164;1444;3058
959;864;1350;3156
960;1012;1806;3207
961;608;2225;2294
962;595;1682;1987
963;58;1885;1987
964;512;1263;2044
965;512;925;1223
966;368;1105;3083
967;558;1510;1705
968;559;1610;1613
969;559;1609;1610
970;561;1108;1311
971;566;1108;1631
972;161;2120;2369
973;992;1823;3118
974;562;1001;2110
975;1912;2151;2921
976;65;1965;2021
977;1395;2939;3063
978;157;1424;2092
979;565;1424;2092
980;566;1519;2466
981;593;1403;1519
982;569;1159;1653
983;569;1653;3058
984;568;1497;1796
985;567;1159;1653
986;1065;1573;2252
987;694;2241;2926
988;570;1574;2288
989;599;1207;2211
990;491;1961;2015
991;572;1143;2059
992;572;975;1143
993;573;1278;3038
994;573;2171;2831
995;574;2057;2720
996;149;1017;2114
997;575;936;1499
998;575;1499;1863
999;713;1134;2457
1000;713;1134;1872
1001;461;909;1115
1002;49;1290;2657
1003;506;1282;1964
1004;506;1965;3102
1005;1231;1866;2651
1006;912;1231;2174
1007;339;1243;2276
1008;1066;1067;1345
1009;1024;1560;1843
1010;725;957;1651
1011;160;1852;1853
1012;584;957;1651
1013;393;957;2341
1014;801;1273;1810
1015;150;1443;2784
1016;267;942;943
1017;586;942;943
1018;313;2103;2209
1019;587;943;2229
1020;235;1834;2237
1021;588;2237;2786
1022;589;1050;2948
1023;589;1050;2242
1024;716;882;2479
1025;590;1627;2023
1026;346;1702;2260
1027;76;2942;3075
1028;762;1935;2689
1029;831;1829;2281
1030;161;2120;2967
1031;405;1493;2527
1032;594;1539;2000
1033;616;1539;1557
1034;797;2939;3063
1035;193;1161;2138
1036;332;1434;2670
1037;1684;2099;2806
1038;220;1227;1910
1039;597;1457;1817
1040;598;1046;1889
1041;1207;2054;2211
1042;292;2210;2666
1043;67;1986;2542
1044;861;1986;2262
1045;774;2212;3197
1046;781;1848;2213
1047;602;1256;1888
1048;168;1888;2347
1049;629;1464;2217
1050;289;1038;2476
1051;18;1660;3129
1052;315;2131;2266
1053;606;1130;1754
1054;307;1099;1758
1055;607;1140;2100
1056;1491;3098;3183
1057;841;1982;3128
1058;403;2333;2890
1059;841;1297;1906
1060;691;2291;3191
1061;610;2085;2086
1062;167;1488;1641
1063;75;1587;1989
1064;482;1525;1808
1065;838;1956;2283
1066;838;1781;2283
1067;614;1700;2547
1068;895;1687;1700
1069;95;1121;1649
1070;270;999;1121
1071;730;1173;2349
1072;770;2172;2257
1073;123;1636;2087
1074;885;1763;2071
1075;246;2190;2671
1076;925;1549;2671
1077;619;1880;2037
1078;796;1120;2960
1079;620;1007;1788
1080;167;1650;1788
1081;365;1201;1377
1082;178;1201;2338
1083;622;978;2060
1084;779;2253;2649
1085;291;1644;2858
1086;1079;2379;2380
1087;396;1423;1424
1088;396;1425;2186
1089;625;1164;1996
1090;625;2130;2892
1091;626;2024;2685
1092;627;1576;3144
1093;1193;3111;3144
1094;603;1464;2053
1095;629;1844;2217
1096;19;1759;2572
1097;629;1759;2572
1098;1176;1602;2290
1099;630;2290;2400
1100;1283;2423;2538
1101;333;1073;1585
1102;964;1405;2491
1103;786;1828;2347
1104;427;1501;1617
1105;633;2389;2776
1106;328;910;1446
1107;205;910;2222
1108;635;1516;2443
1109;263;881;2754
1110;753;2684;2752
1111;636;2470;2771
1112;261;1669;2034
1113;637;1467;2471
1114;171;2217;2392
1115;638;2397;2845
1116;98;1344;2393
1117;639;2173;2394
1118;640;2218;2733
1119;1198;1199;2595
1120;641;2067;2411
1121;414;1078;1755
1122;187;1288;2271
1123;304;1048;2665
1124;200;1681;2073
1125;219;1175;1721
1126;644;1082;2239
1127;47;968;1831
1128;881;1621;2146
1129;14;1231;2509
1130;192;956;2652
1131;266;898;2287
1132;647;2481;2482
1133;206;1275;2750
1134;1275;2750;2972
1135;446;1689;1690
1136;172;1439;2833
1137;342;1240;2528
1138;172;1688;2409
1139;865;1459;3208
1140;203;1048;2295
1141;394;1125;1458
1142;1125;1458;3149
1143;1780;2270;3027
1144;653;1850;2354
1145;46;1198;2219
1146;654;1470;2770
1147;655;2416;2875
1148;657;1647;3100
1149;816;2915;2916
1150;1064;1673;3190
1151;657;1647;2339
1152;452;2631;3168
1153;410;1545;3010
1154;92;2540;2553
1155;659;2485;2811
1156;844;1760;1876
1157;692;1071;1836
1158;1069;1963;2529
1159;181;1252;1548
1160;390;2734;3136
1161;116;2793;2983
1162;868;2331;2853
1163;390;1131;2543
1164;194;2462;2548
1165;664;1303;3136
1166;664;1303;2098
1167;1603;1666;2097
1168;665;1825;1846
1169;353;1025;1292
1170;666;1527;3000
1171;406;1290;2775
1172;667;1456;2560
1173;244;952;2140
1174;176;1215;1716
1175;449;1659;3005
1176;1152;3005;3097
1177;891;988;2907
1178;367;1437;2715
1179;395;1412;1435
1180;184;2601;2799
1181;6;1340;2573
1182;1194;1420;2499
1183;729;1579;2454
1184;78;1685;3185
1185;675;1165;2036
1186;77;2036;2437
1187;773;1836;2340
1188;676;2497;2586
1189;602;1256;1438
1190;677;1704;2431
1191;678;2561;2562
1192;69;2329;2366
1193;363;1045;1046
1194;2306;2389;2776
1195;826;2304;2305
1196;199;1394;2659
1197;120;1157;2779
1198;513;1587;1764
1199;513;1419;1587
1200;1232;1698;2658
1201;257;2624;2669
1202;334;2832;2987
1203;191;1604;2521
1204;685;1898;2381
1205;90;1689;3031
1206;427;1122;1617
1207;686;1426;2449
1208;188;1532;1812
1209;29;1039;1561
1210;688;1532;1534
1211;125;1186;1776
1212;432;1116;1938
1213;885;1792;2621
1214;1301;2910;2993
1215;183;1191;1300
1216;153;2085;2086
1217;153;1084;1274
1218;283;1856;2584
1219;692;2583;2726
1220;159;1476;1497
1221;101;922;1529
1222;85;1102;1992
1223;902;1510;1705
1224;522;1611;2013
1225;108;1373;1819
1226;696;1205;2414
1227;722;1205;2758
1228;260;2615;3158
1229;1192;2615;3158
1230;197;1586;1655
1231;698;1586;1655
1232;699;1388;2336
1233;236;1388;2336
1234;828;1569;3079
1235;66;1569;3079
1236;702;1272;1924
1237;701;2045;2570
1238;489;1272;1924
1239;702;1272;2612
1240;252;1397;1430
1241;252;1397;3130
1242;960;1455;1949
1243;772;1886;2188
1244;813;1427;2953
1245;97;1174;2474
1246;707;1339;2708
1247;185;1432;2825
1248;708;1310;2714
1249;270;1325;1710
1250;999;2269;2711
1251;359;1310;2714
1252;710;1437;2710
1253;711;1255;2729
1254;711;1226;2730
1255;742;1313;1508
1256;715;1181;1283
1257;715;1181;2536
1258;716;2478;2480
1259;761;1287;1813
1260;79;1408;2456
1261;1031;2455;2456
1262;718;1041;1409
1263;718;1404;2578
1264;772;1886;2542
1265;719;2624;2669
1266;244;1342;2732
1267;546;952;2119
1268;612;1384;2078
1269;612;1433;1948
1270;848;1840;2585
1271;848;1840;1928
1272;102;867;1657
1273;724;1393;1394
1274;724;1394;2659
1275;724;1136;1774
1276;725;1136;1774
1277;199;1267;2611
1278;726;1394;2780
1279;727;1698;2658
1280;1008;1232;1698
1281;459;1682;1683
1282;497;1566;2990
1283;674;1188;1579
1284;1188;1579;2454
1285;13;1018;2350
1286;730;1677;2332
1287;293;3033;3039
1288;731;2787;2968
1289;673;1489;2601
1290;1489;2601;2799
1291;1160;1762;2082
1292;807;2755;3134
1293;207;1041;2104
1294;1181;1283;2416
1295;735;2822;2823
1296;932;1584;2511
1297;1526;2506;3080
1298;736;1713;2017
1299;408;1278;3038
1300;737;1119;1976
1301;388;1386;1944
1302;738;1387;1962
1303;472;1638;1911
1304;229;1182;2667
1305;1208;2232;2489
1306;740;2308;2490
1307;54;1756;1803
1308;398;1756;1966
1309;112;940;2107
1310;743;2748;2807
1311;91;2178;2574
1312;744;2404;2626
1313;744;948;1528
1314;1062;1941;2743
1315;2261;2748;2862
1316;1726;1981;2316
1317;746;1562;2869
1318;225;1941;2743
1319;1062;1941;2934
1320;439;979;1615
1321;303;1060;1498
1322;749;1265;2804
1323;55;1091;1505
1324;387;1439;2364
1325;800;1439;2833
1326;152;1735;2483
1327;413;1404;2578
1328;399;2284;2884
1329;752;2884;2885
1330;265;1849;2752
1331;1124;2684;2752
1332;754;2207;2428
1333;789;1202;2492
1334;66;1569;1857
1335;66;1857;2602
1336;661;1903;2543
1337;661;1903;1984
1338;88;1156;2838
1339;757;1552;2837
1340;274;1027;1452
1341;924;1026;1921
1342;217;1026;1921
1343;759;1370;2576
1344;258;1946;3007
1345;760;1055;2693
1346;1042;1829;2903
1347;762;1042;1935
1348;830;2526;2954
1349;228;2018;2699
1350;463;1730;2267
1351;763;1805;2519
1352;49;909;2657
1353;909;1732;2279
1354;1175;1446;2571
1355;765;2682;2683
1356;686;1426;1968
1357;766;2442;3003
1358;767;2561;2562
1359;767;1941;2934
