Id;V0;V1;V2
0;688;1532;1812
1;306;806;893
2;1063;2915;2916
3;794;1725;2817
4;425;1411;1608
5;229;1526;2017
6;202;2373;2374
7;1398;2581;2582
8;737;1119;2666
9;511;1457;1793
10;331;949;1559
11;1784;2120;2967
12;189;1535;1600
13;781;1505;1605
14;508;1875;2933
15;258;926;3107
16;419;1205;2758
17;61;1558;3172
18;386;1032;1114
19;1073;1585;2189
20;741;1488;1650
21;223;2019;2046
22;288;2386;2575
23;766;1426;1968
24;90;865;1459
25;40;1838;1973
26;283;2497;2584
27;495;998;1779
28;1049;2231;2244
29;556;1909;2390
30;614;1447;1515
31;625;1164;2315
32;1047;1590;3184
33;479;1680;1878
34;460;1179;1742
35;866;1405;3119
36;688;1614;1812
37;736;1713;3019
38;32;1292;2039
39;882;1730;2479
40;929;1874;2500
41;971;1006;2003
42;790;1680;1878
43;874;1594;1936
44;587;1184;2508
45;554;1149;1977
46;609;1906;2326
47;700;1227;2399
48;667;1524;3004
49;58;1682;1987
50;394;976;1125
51;308;1101;2844
52;1258;2171;2831
53;778;1229;2553
54;788;1244;1545
55;1105;2135;3083
56;174;2534;2917
57;165;1896;1897
58;303;1061;2191
59;870;1260;3205
60;937;1535;1600
61;929;2022;2384
62;434;1470;2770
63;982;2577;2628
64;559;1613;1772
65;552;1932;2255
66;456;1584;2511
67;1107;2686;2860
68;980;1965;3102
69;1161;2138;2670
70;348;1604;1898
71;61;1929;2759
72;835;2793;2999
73;534;926;2440
74;746;1726;2869
75;725;957;2341
76;234;1460;2176
77;625;1092;2176
78;431;1000;1670
79;827;2541;3145
80;863;1289;3028
81;1073;3064;3095
82;709;2713;2737
83;736;1979;2329
84;69;1979;2329
85;94;900;1024
86;603;1464;1759
87;633;1501;2094
88;729;2517;2763
89;131;1107;1203
90;207;1181;2536
91;715;977;2537
92;1246;2447;2448
93;156;1164;2315
94;224;1507;2278
95;539;2129;2274
96;615;999;2269
97;479;1006;1878
98;838;3165;3166
99;648;961;1250
100;951;1222;1624
101;505;1973;2663
102;335;975;1143
103;372;1356;2592
104;821;1723;2852
105;330;1195;2871
106;411;1463;2688
107;188;1629;2746
108;903;2631;3168
109;226;1704;2431
110;451;2144;2796
111;145;2007;2894
112;436;920;2084
113;787;1681;3032
114;840;1597;3177
115;750;2832;2987
116;652;1458;3149
117;746;1475;2783
118;511;1457;1930
119;1263;2044;2179
120;721;1549;2672
121;474;1153;1742
122;259;2048;2356
123;996;1839;2139
124;1063;1396;1990
125;677;1438;2177
126;1093;2161;3096
127;146;958;1540
128;835;2999;3072
129;994;1113;2203
130;1630;1631;3081
131;435;2106;2557
132;553;1149;1977
133;517;1804;2767
134;793;1431;1853
135;497;1566;1684
136;501;1696;2893
137;48;1204;1583
138;105;1414;2997
139;609;1297;1906
140;168;1705;2199
141;521;1611;1629
142;518;1379;1862
143;741;1488;1803
144;189;1535;1628
145;995;1834;2237
146;274;924;1026
147;712;2122;2618
148;540;2123;2268
149;613;1781;2283
150;252;3130;3131
151;854;2492;3106
152;190;1876;2137
153;243;1602;3110
154;986;1890;2777
155;187;1288;1520
156;311;997;1787
157;264;932;1145
158;402;1124;1849
159;515;1252;1254
160;858;1913;2706
161;624;2343;3055
162;744;1271;2627
163;536;1284;3147
164;1435;1967;2566
165;399;1602;3109
166;312;1191;2434
167;542;1933;2558
168;908;2367;2996
169;351;946;2354
170;723;2607;2673
171;438;1599;1920
172;440;1566;1684
173;596;945;2286
174;434;1060;1580
175;545;1701;1802
176;47;1623;2258
177;1748;2791;3116
178;415;1084;1274
179;1059;2345;3018
180;57;1656;2756
181;473;1182;1203
182;262;1886;2188
183;610;1233;2398
184;31;1063;1211
185;612;1948;2313
186;547;2002;2982
187;607;1098;2355
188;412;1402;2391
189;528;2042;2043
190;420;1399;3001
191;760;1055;2193
192;1113;2133;2203
193;388;1386;2962
194;410;1053;1543
195;231;1645;2585
196;1221;1406;2006
197;808;1708;2796
198;548;2144;2153
199;291;1017;1644
200;1004;1945;3193
201;860;1295;2952
202;145;1833;3120
203;276;3016;3049
204;278;2192;3015
205;665;1603;1666
206;1581;2103;2209
207;2058;2202;2668
208;221;1607;1722
209;157;2092;2242
210;762;2690;2963
211;592;1042;2259
212;466;1744;2605
213;152;971;1735
214;130;1791;1970
215;57;983;1473
216;495;1122;1618
217;455;1447;1691
218;544;1701;1802
219;958;2029;2624
220;79;1222;2187
221;1092;1460;2176
222;279;2163;2948
223;801;1443;2623
224;518;1804;2767
225;870;1260;1715
226;477;1103;1854
227;1103;1854;2181
228;566;1108;1311
