Id;X;Y
0;1.000000000000000e+00;1.000000000000000e+00
1;1.000000000000000e+00;0.000000000000000e+00
2;2.000000000000000e+00;0.000000000000000e+00
3;2.000000000000000e+00;1.000000000000000e+00
4;0.000000000000000e+00;1.000000000000000e+00
5;0.000000000000000e+00;0.000000000000000e+00
6;0.000000000000000e+00;5.000000000000000e-01
7;5.000000000000000e-01;0.000000000000000e+00
8;1.000000000000000e+00;5.000000000000000e-01
9;5.000000000000000e-01;1.000000000000000e+00
10;1.500000000000000e+00;0.000000000000000e+00
11;2.000000000000000e+00;5.000000000000000e-01
12;1.500000000000000e+00;1.000000000000000e+00
13;5.000000000000000e-01;5.000000000000000e-01
14;1.500000000000000e+00;5.000000000000000e-01
15;0.000000000000000e+00;2.500000000000000e-01
16;2.500000000000000e-01;0.000000000000000e+00
17;2.500000000000000e-01;1.000000000000000e+00
18;0.000000000000000e+00;7.500000000000000e-01
19;1.000000000000000e+00;2.500000000000000e-01
20;7.500000000000000e-01;0.000000000000000e+00
21;1.000000000000000e+00;7.500000000000000e-01
22;7.500000000000000e-01;1.000000000000000e+00
23;2.000000000000000e+00;2.500000000000000e-01
24;1.750000000000000e+00;0.000000000000000e+00
25;2.000000000000000e+00;7.500000000000000e-01
26;1.750000000000000e+00;1.000000000000000e+00
27;1.708333333333333e+00;2.916666666666667e-01
28;1.750000000000000e+00;6.250000000000000e-01
29;1.250000000000000e+00;1.000000000000000e+00
30;7.083333333333333e-01;2.916666666666667e-01
31;1.250000000000000e+00;3.750000000000000e-01
32;2.916666666666666e-01;7.083333333333334e-01
33;3.750000000000000e-01;2.500000000000000e-01
34;7.500000000000000e-01;6.250000000000000e-01
35;1.291666666666667e+00;7.083333333333334e-01
36;1.250000000000000e+00;0.000000000000000e+00
37;2.569444444444444e-01;4.652777777777778e-01
38;5.366379310344828e-01;7.535919540229885e-01
39;1.463362068965517e+00;2.464080459770115e-01
40;1.534722222222222e+00;7.430555555555555e-01
41;8.125000000000000e-01;8.125000000000000e-01
42;1.875000000000000e-01;1.875000000000000e-01
43;1.812500000000000e+00;8.125000000000000e-01
44;1.187500000000000e+00;1.875000000000000e-01
45;1.182598039215686e+00;5.526960784313726e-01
46;8.690476190476190e-01;3.750000000000000e-01
47;1.869047619047619e+00;3.750000000000000e-01
48;1.450441919191919e-01;6.052714646464646e-01
49;3.750000000000000e-01;8.690476190476191e-01
50;5.526960784313725e-01;1.825980392156862e-01
51;1.609285201149425e+00;1.421772372742201e-01
52;1.375000000000000e+00;8.690476190476191e-01
53;1.161458333333333e+00;8.385416666666666e-01
54;1.838541666666667e+00;1.614583333333334e-01
55;8.385416666666666e-01;1.614583333333334e-01
56;1.614583333333333e-01;8.385416666666667e-01
57;6.736111111111112e-01;4.652777777777778e-01
58;1.673611111111111e+00;4.652777777777778e-01
59;1.652243589743590e+00;8.632478632478633e-01
60;1.367521367521368e-01;3.477564102564102e-01
61;6.570970491253563e-01;8.648656830417855e-01
62;1.342902950874644e+00;1.351343169582145e-01
63;5.102479397556124e-01;3.386260301221938e-01
64;1.345934322803195e+00;5.542676561365287e-01
65;1.562580964015056e+00;3.615159311863891e-01
66;3.654513888888889e-01;5.737847222222222e-01
67;6.929750044954185e-01;1.362784921584263e-01
68;1.146884361383442e+00;6.937593613834423e-01
69;3.885761027438350e-01;4.119117252375990e-01
70;1.125000000000000e+00;3.125000000000000e-01
71;1.609126984126984e+00;5.942460317460317e-01
72;1.875000000000000e+00;6.875000000000000e-01
73;6.091269841269842e-01;5.942460317460317e-01
74;8.750000000000000e-01;6.875000000000000e-01
75;1.401344652101430e+00;3.848106957971396e-01
76;4.272788902795160e-01;1.198894451397580e-01
77;8.544456845238095e-01;5.213913690476191e-01
78;1.854445684523810e+00;5.213913690476191e-01
79;1.459145598825950e+00;6.298442795328008e-01
80;1.125000000000000e+00;0.000000000000000e+00
81;1.000000000000000e+00;1.250000000000000e-01
82;1.250000000000000e-01;0.000000000000000e+00
83;0.000000000000000e+00;1.250000000000000e-01
84;8.750000000000000e-01;1.000000000000000e+00
85;1.000000000000000e+00;8.750000000000000e-01
86;2.000000000000000e+00;8.750000000000000e-01
87;1.875000000000000e+00;1.000000000000000e+00
88;1.522801007606054e+00;8.722628989257429e-01
89;1.280008648150532e-01;4.769292340226777e-01
90;1.702917633036980e+00;7.448607889876734e-01
91;2.695382451711197e-01;3.321750950221553e-01
92;1.296843276428403e+00;2.552189078571988e-01
93;7.031567235715964e-01;7.447810921428012e-01
94;1.000000000000000e+00;3.750000000000000e-01
95;1.000000000000000e+00;6.250000000000000e-01
96;6.250000000000000e-01;0.000000000000000e+00
97;1.375000000000000e+00;0.000000000000000e+00
98;3.750000000000000e-01;0.000000000000000e+00
99;1.250000000000000e-01;1.000000000000000e+00
100;8.750000000000000e-01;0.000000000000000e+00
101;1.875000000000000e+00;0.000000000000000e+00
102;1.375000000000000e+00;1.000000000000000e+00
103;1.625000000000000e+00;0.000000000000000e+00
104;0.000000000000000e+00;3.750000000000000e-01
105;0.000000000000000e+00;6.250000000000000e-01
106;2.000000000000000e+00;3.750000000000000e-01
107;3.750000000000000e-01;1.000000000000000e+00
108;1.125000000000000e+00;1.000000000000000e+00
109;2.000000000000000e+00;1.250000000000000e-01
110;0.000000000000000e+00;8.750000000000000e-01
111;1.625000000000000e+00;1.000000000000000e+00
112;6.250000000000000e-01;1.000000000000000e+00
113;2.000000000000000e+00;6.250000000000000e-01
114;2.979288363930608e-01;1.201429454643536e-01
115;4.109195402298850e-01;7.484605911330049e-01
116;1.467495801960444e+00;1.210948484735260e-01
117;5.325041980395562e-01;8.789051515264740e-01
118;4.831670727569156e-01;6.331060043826487e-01
119;1.141615160556976e+00;4.355196788860472e-01
120;1.410563928262579e+00;7.441080577174997e-01
121;1.735997378973042e-01;7.204747378973043e-01
122;1.726779419517741e+00;1.177405871461850e-01
123;1.601194379111138e+00;2.550962033437885e-01
124;2.534919507575758e-01;5.772372159090909e-01
125;1.263392857142857e+00;8.876488095238095e-01
126;2.633928571428572e-01;8.876488095238095e-01
127;1.819940476190476e+00;2.730654761904763e-01
128;8.199404761904761e-01;2.730654761904762e-01
129;1.780548358526761e+00;4.400964900881960e-01
130;7.583027058698200e-01;3.919383189517417e-01
131;5.750282248382511e-01;4.237522353023667e-01
132;6.008360210023379e-01;2.794828358598495e-01
133;1.320978179341451e+00;4.523195798059300e-01
134;8.163442644334186e-02;6.821295860397322e-01
135;1.890625000000000e+00;8.906250000000000e-01
136;8.333333333333333e-02;1.875000000000000e-01
137;2.028380815996574e-01;8.844602719988583e-02
138;2.766521142611967e-01;2.325436572164097e-01
139;1.187500000000000e+00;8.333333333333333e-02
140;9.062500000000000e-01;7.812500000000000e-01
141;8.906250000000000e-01;8.906250000000000e-01
142;1.906250000000000e+00;7.812500000000000e-01
143;1.093750000000000e+00;2.187500000000000e-01
144;7.545696325008384e-01;8.973565441669461e-01
145;1.750811235865584e+00;8.961037452885279e-01
146;5.625000000000000e-01;8.086590340834317e-02
147;1.098246307231186e+00;6.063928842305680e-01
148;9.077380952380953e-02;9.077380952380952e-02
149;1.090773809523810e+00;9.077380952380952e-02
150;1.225558903129199e+00;6.386252337033450e-01
151;4.610923478694773e-01;2.090340151496560e-01
152;7.542527598351648e-01;5.248380520595106e-01
153;6.459235536037465e-01;3.619913988405765e-01
154;1.761240007566495e+00;5.318817497276286e-01
155;7.560381768882634e-01;2.050614223385200e-01
156;1.410261012608463e+00;4.770161324177848e-01
157;1.365386934267406e+00;6.477099697534587e-01
158;1.929267473118280e+00;1.875000000000000e-01
159;1.907524690275830e+00;9.218971500852076e-02
160;1.246171636758151e+00;7.930466367581516e-01
161;7.073252688172042e-02;8.125000000000000e-01
162;9.247530972417010e-02;9.078102849914793e-01
163;9.292674731182795e-01;1.875000000000000e-01
164;9.075246902758297e-01;9.218971500852073e-02
165;7.757920537418461e-01;9.086269095877259e-02
166;2.400955776842301e-01;7.869705776842302e-01
167;1.808806811326238e+00;7.275782389636429e-02
168;1.070732526881720e+00;8.125000000000000e-01
169;1.092475309724170e+00;9.078102849914793e-01
