Id;V0;V1;V2
0;7;8;132
1;52;96;177
2;76;131;190
3;39;174;185
4;4;5;97
5;4;97;143
6;6;7;160
7;61;134;136
8;84;119;170
9;47;69;98
10;84;97;160
11;11;12;128
12;81;124;182
13;81;119;182
14;13;14;182
15;12;128;194
16;84;119;179
17;78;127;194
18;4;35;143
19;78;128;194
20;48;79;81
21;16;17;95
22;79;124;167
23;17;18;124
24;82;141;173
25;16;124;182
26;16;17;124
27;79;81;124
28;20;131;190
29;80;114;169
30;24;114;169
31;76;126;190
32;80;114;159
33;76;110;126
34;24;25;169
35;21;22;126
36;23;24;114
37;68;111;129
38;48;158;159
39;24;88;164
40;30;115;171
41;97;143;153
42;37;138;187
43;30;31;171
44;85;115;171
45;29;30;188
46;48;153;158
47;59;138;139
48;85;115;158
49;29;30;115
50;67;112;125
51;48;84;153
52;67;152;162
53;6;7;132
54;40;133;173
55;24;25;88
56;8;9;91
57;52;93;176
58;49;87;92
59;46;87;144
60;7;8;160
61;84;97;153
62;77;130;139
63;30;31;130
64;50;116;155
65;62;173;177
66;62;131;193
67;13;14;127
68;93;95;176
69;26;90;163
70;41;86;146
71;100;105;178
72;63;113;149
73;28;29;129
74;77;111;129
75;56;137;161
76;63;128;137
77;4;5;125
78;75;112;125
79;43;89;148
80;64;89;148
81;66;130;139
82;65;120;183
83;94;120;183
84;5;6;184
85;75;142;185
86;19;20;131
87;9;91;113
88;9;10;113
89;64;89;95
90;89;95;176
91;23;24;164
92;45;94;120
93;31;32;172
94;31;130;172
95;152;162;195
96;87;92;152
97;68;86;163
98;86;90;163
99;98;105;178
100;70;100;105
101;69;98;105
102;42;70;100
103;49;92;118
104;3;72;156
105;53;88;94
106;53;94;102
107;73;104;108
108;5;125;184
109;75;125;184
110;65;110;126
111;76;141;186
112;29;129;188
113;77;129;188
114;64;123;127
115;36;109;123
116;22;23;166
117;21;22;166
118;28;29;168
119;27;28;168
120;12;119;170
121;81;119;179
122;140;141;186
123;61;136;142
124;11;12;170
125;10;11;170
126;34;35;143
127;33;85;171
128;41;86;104
129;53;86;104
130;49;87;106
131;49;99;103
132;53;88;90
133;53;86;90
134;43;50;101
135;43;89;101
136;25;88;90
137;25;26;90
138;54;91;149
139;91;113;149
140;32;33;175
141;33;34;92
142;17;93;95
143;17;18;93
144;45;94;181
145;15;16;165
146;16;95;165
147;52;96;107
148;52;101;107
149;6;97;160
150;5;6;97
151;98;134;136
152;54;98;134
153;44;99;150
154;63;121;149
155;42;100;121
156;51;107;155
157;41;73;104
158;74;102;108
159;49;103;106
160;72;103;156
161;102;104;108
162;53;102;104
163;46;87;106
164;46;71;106
165;51;107;151
166;0;73;108
167;0;74;108
168;43;58;148
169;58;109;148
170;45;60;120
171;60;120;189
172;37;55;111
173;55;146;147
174;39;57;112
175;57;144;145
176;10;11;113
177;78;128;137
178;23;114;166
179;79;114;166
180;29;115;168
181;80;115;168
182;1;116;154
183;3;117;156
184;71;117;156
185;49;99;118
186;66;99;118
187;13;119;182
188;12;13;119
189;65;110;189
190;65;120;189
191;44;99;157
192;44;122;157
193;137;161;196
194;78;123;127
195;18;19;167
196;18;124;167
197;4;35;162
198;4;125;162
199;65;126;164
200;65;164;183
201;64;127;165
202;64;95;165
203;63;113;128
204;11;113;128
205;26;27;163
206;27;28;163
207;66;118;172
208;66;130;172
209;18;19;193
210;19;131;193
211;8;91;132
212;61;91;132
213;62;141;173
214;82;133;173
215;61;91;134
216;54;91;134
217;47;135;136
218;47;98;136
219;83;135;142
220;135;136;142
221;42;121;180
222;63;121;137
223;77;139;187
224;138;139;187
225;59;122;157
226;59;139;157
227;82;140;141
228;38;140;186
229;62;131;141
230;76;131;141
231;75;132;142
232;61;132;142
233;33;34;143
234;33;85;143
235;67;112;145
236;57;112;145
237;87;144;145
238;67;125;162
239;68;111;147
240;55;111;147
241;86;146;147
242;68;86;147
243;109;123;148
244;64;123;148
245;100;121;149
246;54;100;149
247;99;103;150
248;72;103;150
249;96;107;151
250;40;96;151
251;67;145;152
252;87;145;152
253;85;143;153
254;85;153;158
255;51;154;155
256;116;154;155
257;50;101;155
258;101;107;155
259;103;106;156
260;71;106;156
261;66;139;157
262;66;99;157
263;80;115;158
264;80;158;159
265;79;114;159
266;48;79;159
267;9;10;170
268;8;9;160
269;36;123;196
270;36;161;196
271;34;35;195
272;35;162;195
273;28;129;163
274;68;129;163
275;22;126;164
276;22;23;164
277;14;127;165
278;14;15;165
279;21;166;167
280;79;166;167
281;20;21;167
282;19;20;167
283;26;27;168
284;80;168;169
285;26;168;169
286;25;26;169
287;9;160;170
288;84;160;170
289;32;33;171
290;31;32;171
291;32;172;175
292;118;172;175
293;40;96;173
294;96;173;177
295;142;174;185
296;83;142;174
297;33;92;175
298;92;118;175
299;52;101;176
300;89;101;176
301;52;93;177
302;62;93;177
303;54;98;178
304;54;100;178
305;48;84;179
306;48;81;179
307;121;137;180
308;56;137;180
309;94;102;181
310;74;102;181
311;15;16;182
312;14;15;182
313;88;164;183
314;88;94;183
315;6;132;184
316;75;132;184
317;39;112;185
318;75;112;185
319;76;110;186
320;38;110;186
321;37;111;187
322;77;111;187
323;30;130;188
324;77;130;188
325;38;60;189
326;38;110;189
327;20;21;190
328;21;126;190
329;69;105;191
330;2;191;192
331;105;191;192
332;70;105;192
333;62;93;193
334;18;93;193
335;12;13;194
336;13;127;194
337;92;152;195
338;34;92;195
339;78;137;196
340;78;123;196
